,cwe,recall,precision,f1_score,accuracy
8,78,0.9334975369458128,0.9077844311377246,0.920461445051609,0.9846938775510204
1,121,0.9938650306748467,0.9642857142857143,0.9788519637462235,0.9938650306748467
0,122,0.9846938775510204,0.965,0.9747474747474747,0.9085239085239085
7,126,0.9457364341085271,0.9593709043250328,0.9525048796356539,0.9753086419753086
6,134,0.5369127516778524,0.5925925925925926,0.5633802816901409,0.9726962457337884
2,190,0.9085239085239085,0.9583333333333334,0.9327641408751334,0.691358024691358
11,191,0.7615062761506276,0.900990099009901,0.8253968253968254,0.5369127516778524
3,194,0.9753086419753086,0.9294117647058824,0.9518072289156626,0.9457364341085271
5,195,0.691358024691358,0.6496519721577726,0.6698564593301436,0.9334975369458128
4,197,0.9726962457337884,0.986159169550173,0.979381443298969,0.8427672955974843
12,369,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.8169642857142857
10,400,0.8169642857142857,0.7011494252873564,0.7546391752577319,0.7615062761506276
13,401,0.9259259259259259,0.9398496240601504,0.9328358208955224,0.9636363636363636
9,690,0.8427672955974843,0.881578947368421,0.8617363344051447,0.9259259259259259
