,cwe,recall,precision,f1_score,accuracy
8,78,0.9445812807881774,0.9023529411764706,0.9229843561973526,0.9948979591836735
1,121,0.9938650306748467,0.9642857142857143,0.9788519637462235,0.9938650306748467
0,122,0.9948979591836735,0.9948979591836735,0.9948979591836735,0.9251559251559252
7,126,0.9612403100775194,0.9514066496163683,0.9562982005141388,0.9876543209876543
6,134,0.5033557046979866,0.6410256410256411,0.5639097744360902,0.9658703071672355
2,190,0.9251559251559252,0.9528907922912205,0.9388185654008439,0.7382716049382716
11,191,0.7782426778242678,0.8857142857142857,0.8285077951002228,0.5033557046979866
3,194,0.9876543209876543,0.975609756097561,0.9815950920245399,0.9612403100775194
5,195,0.7382716049382716,0.6375266524520256,0.6842105263157895,0.9445812807881774
4,197,0.9658703071672355,0.9964788732394366,0.9809358752166378,0.8301886792452831
12,369,0.8909090909090909,1.0,0.9423076923076923,0.8169642857142857
10,400,0.8169642857142857,0.7261904761904762,0.7689075630252101,0.7782426778242678
13,401,0.9333333333333333,0.9545454545454546,0.9438202247191011,0.8909090909090909
9,690,0.8301886792452831,0.9361702127659575,0.88,0.9333333333333333
